,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
211,Kyle Lowry,Tor,G,33.05,14.2,8.7,34.1,4.8,1.4,0.48,2018-2019,31200000.0
212,Joel Embiid,Phi,F-C,25.07,27.5,3.7,33.7,13.6,0.72,1.91,2018-2019,25467250.0
213,Malcolm Brogdon,Mil,G,26.33,15.6,3.2,28.6,4.5,0.72,0.19,2018-2019,1544951.0
214,Cheick Diallo,Nor,F,22.57,6.0,0.5,14.0,5.2,0.45,0.52,2018-2019,1544951.0
215,Dewayne Dedmon,Atl,C,29.66,10.8,1.4,25.1,7.5,1.08,1.13,2018-2019,7200000.0
216,Michael Kidd-Gilchrist,Cha,F,25.54,6.7,1.0,18.4,3.8,0.5,0.61,2018-2019,13000000.0
217,Dante Cunningham,San,F,31.97,3.0,0.8,14.5,2.9,0.41,0.2,2018-2019,2487000.0
218,Jamal Crawford,Pho,G,39.06,7.9,3.6,18.9,1.3,0.52,0.19,2018-2019,1512601.0
219,Fred VanVleet,Tor,G,25.12,11.0,4.8,27.5,2.6,0.89,0.3,2018-2019,8653847.0
220,Sindarius Thornwell,Lac,G,24.4,1.0,0.3,4.9,0.7,0.22,0.11,2018-2019,1378242.0
221,Allonzo Trier,Nyk,G,23.23,10.9,1.9,22.8,3.1,0.44,0.22,2018-2019,3382000.0
222,Shaun Livingston,Gol,G,33.58,4.0,1.8,15.1,1.8,0.48,0.42,2018-2019,8307692.0
223,Devin Booker,Pho,G,22.44,26.6,6.8,35.0,4.1,0.88,0.2,2018-2019,3314365.0
224,Trey Lyles,Den,F,23.43,8.7,1.4,17.8,3.9,0.48,0.38,2018-2019,3364249.0
225,Patrick Patterson,Okc,F,30.08,3.6,0.5,13.7,2.3,0.25,0.21,2018-2019,5451600.0
226,Luke Kennard,Det,G,22.8,9.7,1.8,22.8,2.9,0.41,0.14,2018-2019,3275280.0
